id_entreprise;libellé_entreprise
887;Afghanistan Opposition
888;Afghanistan Peace and Reintegration Programme (APRP)
889;Afghanistan Police
890;Afghanistan Police force.
891;Afghanistan Police Forces
892;Afghanistan President
893;Afghanistan Security Forces
894;Afghanistan Times Daily
895;Afghanistan Transportation Infrastructure
896;Afghanistan Tribal Elders
897;Afghanistan Turkish Industrialists & Businessmen's Association
898;Afghanistan/Kabul Police
899;Afghanistan's Department of Education
900;Afghanistan's Education system
901;Afghanistan's Lower House of Parliament
902;Afghanistan's National Reconciliation commission
903;Afghanistan's Rural Development Ministry
904;Afghan-Turk High School
905;Afgoye (District) government
906;Afhgan Law Enforcement
907;AFL-CIO
908;AFL-CIO (American Institute for Free Labor*
909;Afmadow Town
910;Afom Village
911;Afouna Village
912;Afren Oil
913;African American Church
914;African American Citizen
915;African American owned house in a white neighborhood in Longview Texas
916;African Americans
917;African Army
918;African Democratic Party (PDA)
919;African Development Emergency Organization
920;African Eagle
921;African Government.
922;African Inland Church
923;African National Congress
924;African National Congress (ANC)
925;African National Congress Youth League (ANCYL)
926;African National Union-Patriotic Front
927;African Nationalist Party
928;African Union
929;African Union (AU)
930;African Union Mission in Somalia
931;African Union Mission in Somalia (AMISOM)
932;African Union Mission to Somalia (AMISOM)
933;African Union Peacekeepers
934;African Union Regional Task Force (AURTF)
935;African Union troops
936;African Union/United Nations Hybrid Operation in Darfur (UNAMID)
937;"African Union/United Nations Hybrid Operation in Darfur (UNAMID); United National World Food Programme (WFP)"
938;Africana Studies and Research Center, Cornell University
939;Africaner Resistance movement
940;African-led International Support Mission to the Central African Republic (MISCA)
941;Afrikaner Resistance Movement
942;Afriqiyah Airways
943;Aga Khan Foundation
944;Aga Khan Jamaat Khana Prayer Hall
945;Agago County Government
946;Against Corruption and Unabated Taxation (ACUT)
947;Agangara Pub
948;Aganjara Village
949;Agapalwa Village
950;Agaraga Village
951;Agat
952;Agatu District
953;AGB Marketing Research
954;Agbasti District, Justice Party
955;Agbede Village
956;Agbolagu Village
957;Agena Village
958;Agence France
959;Agence France Press (AFP)
960;Agence France Presse
961;Agence France Presse (AFP)
962;Agence France Presse News Agency
963;Agence France-Presse
964;Agence France-Presse (AFP)
965;Agency Coordinating Body for Afghan Relief and Development (ACBAR)
966;Agency Education Office
967;Agency Finance Press
968;Agency for Air Navigation Safety in Africa **
969;Agency for International development -US supported
970;Agency for Technical Cooperation and Development
971;Agency for Technical Cooperation and Development (ACTED)
972;Agency France Press
973;Agency France Press/German Media
974;Agency in National Security Planning
975;Agende a'Aide a la Cooperation Technique Et au Development (ACTED)
976;Agenzia Nazionale Stampa Associata (ANSA)
977;Agfhan Roadway Infrastructure
978;Agha Khan
979;Agha Khan Development Network (AKDN)
980;Aghan Police
981;Aghani Law Enforcement
982;Aghency France Press
983;Agip
984;Agip corporation
985;Agno town Mayor
986;Agoumar Village
987;Agrani Bank Limited
988;Agraria Engenharia e Consultoria
989;Agrarian Bank
990;Agrarian Bank (Govt owned)
991;Agrarian credit institution (Caja de credito *)
992;Agrarian Fund
993;Agrarian Institute
994;Agrarian reform
995;Agrarian Reform Institute
996;Agrarian Reform office in Santa Glena
997;Agrarian reform office, Santa Elena
998;Agrarian Savings Bank
999;Agrarian University
1000;Agrario Bank
1001;Agremont co.
1002;Agricultural and industrial Party
1003;Agricultural and Livestock Service
1004;Agricultural Bank
1005;Agricultural Bank of Greece
1006;Agricultural Center (govt)
1007;agricultural company (name not given)
1008;Agricultural Cooperative
1009;Agricultural Cooperative Bank of Iraq
1010;Agricultural Development Bank
1011;Agricultural Engineers Association
1012;agricultural firm (name not given)
1013;Agricultural Ministry Office
1014;Agricultural Products
1015;Agricultural Products firm
1016;Agricultural Project in Ayacucho Dept.*
